customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50020,33,One year,27.4,803.13,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,7,0.0,0,1,1
CUST50021,17,Month-to-month,60.55,977.74,Fiber optic,Yes,Yes,Yes,Credit card (auto),No,1,No,No,Yes,Yes,1,20.89,0,1,0
CUST50022,12,Two year,33.2,341.97,Fiber optic,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,Yes,2,32.52,0,1,0
CUST50023,7,Month-to-month,33.43,224.84,Fiber optic,Yes,No,No,Mailed check,No,0,No,Yes,Yes,No,12,20.27,0,0,1
CUST50024,3,Month-to-month,33.48,86.26,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,1,0.0,0,0,1
CUST50025,26,Month-to-month,92.82,2344.29,Fiber optic,No,Yes,Yes,Electronic check,No,0,Yes,Yes,Yes,No,4,12.88,1,0,0
CUST50026,13,Two year,59.68,738.44,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,Yes,0,0.0,0,1,1
CUST50027,40,Month-to-month,24.12,943.46,Fiber optic,No,No,No,Mailed check,No,1,No,No,Yes,No,3,75.9,2,0,1
CUST50028,7,Two year,27.04,162.03,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,No,No phone service,0,0.0,0,1,1
CUST50029,52,Month-to-month,46.93,2458.75,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,Yes,2,0.0,0,1,0
CUST50030,28,Two year,21.03,575.3,Fiber optic,No,No,No,Electronic check,No,0,Yes,No,Yes,No,1,40.8,1,1,0
CUST50031,46,Month-to-month,90.27,3753.68,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,Yes,3,0.0,0,1,0
CUST50032,7,Two year,101.76,698.55,DSL,Yes,No,No,Mailed check,No,0,Yes,No,Yes,No,1,14.88,0,0,0
CUST50033,26,Month-to-month,38.97,947.37,Fiber optic,No,Yes,No,Electronic check,Yes,0,No,No,Yes,Yes,7,48.16,0,0,0
CUST50034,61,Month-to-month,50.14,2951.48,Fiber optic,No,No,No,Electronic check,Yes,0,No,No,No,No phone service,2,2.14,2,2,0
CUST50035,34,One year,91.46,3126.99,DSL,Yes,No,Yes,Electronic check,No,1,No,No,No,No phone service,1,22.25,1,0,0
CUST50036,10,Two year,79.22,686.69,Fiber optic,No,Yes,Yes,Mailed check,Yes,0,No,No,Yes,Yes,9,22.53,0,1,0
CUST50037,62,Two year,86.41,5598.92,No,No internet service,No internet service,No internet service,Electronic check,No,1,Yes,No,Yes,Yes,2,0.0,0,0,0
CUST50038,1,Month-to-month,86.03,85.44,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,No,No,Yes,No,1,6.1,0,0,1
CUST50039,7,Month-to-month,63.97,422.49,Fiber optic,No,Yes,Yes,Credit card (auto),Yes,0,Yes,No,Yes,Yes,7,6.21,2,1,1
CUST50040,17,One year,46.11,671.86,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,2,41.3,0,1,0
CUST50041,37,Month-to-month,54.65,2068.61,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,No,4,13.52,0,1,1
CUST50042,16,Month-to-month,86.61,1359.99,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,No,Yes,Yes,1,0.0,0,1,0
CUST50043,1,Month-to-month,21.52,21.98,DSL,Yes,No,No,Electronic check,No,0,Yes,Yes,Yes,No,4,36.34,0,0,1
CUST50044,1,Two year,60.12,58.61,Fiber optic,No,No,Yes,Credit card (auto),No,0,No,No,Yes,No,2,26.07,0,2,0
CUST50045,17,Month-to-month,75.31,1325.96,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,Yes,Yes,No,5,0.0,0,0,1
CUST50046,2,Two year,27.29,50.82,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,No,4,0.0,0,0,0
CUST50047,54,Month-to-month,103.42,4962.98,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,Yes,8,0.0,0,0,0
CUST50048,71,Two year,45.08,2732.86,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,Yes,Yes,No,0,0.0,0,4,0
CUST50049,30,Month-to-month,23.28,646.42,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,0,0.0,0,0,1
CUST50050,48,One year,47.44,2142.47,Fiber optic,No,No,Yes,Mailed check,No,0,No,No,Yes,No,0,52.04,0,1,0
CUST50051,1,Month-to-month,118.0,110.95,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,0,0.0,1,0,1
CUST50052,6,Month-to-month,114.83,710.68,Fiber optic,No,Yes,Yes,Electronic check,No,0,Yes,No,No,No phone service,0,12.5,0,0,0
CUST50053,1,Two year,79.69,75.93,Fiber optic,No,Yes,Yes,Bank transfer (auto),No,0,Yes,No,Yes,Yes,2,6.49,0,0,0
CUST50054,12,Month-to-month,30.58,342.59,Fiber optic,Yes,No,No,Electronic check,No,0,No,No,Yes,Yes,3,23.57,0,1,1
CUST50055,13,Month-to-month,74.0,952.28,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,0,0.0,1,0,0
CUST50056,1,Month-to-month,48.84,47.42,DSL,No,No,No,Electronic check,Yes,0,No,Yes,Yes,Yes,0,62.1,0,1,1
CUST50057,26,Two year,106.18,2785.27,DSL,No,No,No,Credit card (auto),Yes,0,No,Yes,Yes,No,3,24.26,0,0,0
CUST50058,49,One year,82.15,3707.81,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,No,Yes,No,0,0.0,0,0,0
CUST50059,1,Month-to-month,68.33,62.34,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,Yes,2,0.0,0,0,1
CUST50060,8,Month-to-month,27.61,211.46,DSL,No,Yes,Yes,Credit card (auto),Yes,0,No,No,Yes,No,2,46.24,1,1,0
CUST50061,39,One year,20.98,842.43,Fiber optic,No,Yes,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,2,6.29,1,2,0
CUST50062,14,Two year,39.15,489.27,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,Yes,Yes,No,0,0.0,0,0,0
CUST50063,31,One year,25.57,735.45,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,No,Yes,No,2,0.0,0,0,1
CUST50064,4,One year,74.06,251.96,DSL,No,No,Yes,Bank transfer (auto),No,1,Yes,No,Yes,No,2,20.59,0,0,0
CUST50065,18,Month-to-month,118.47,2024.09,DSL,No,Yes,Yes,Credit card (auto),No,0,No,No,Yes,No,1,109.05,0,0,0
CUST50066,71,Month-to-month,83.6,5562.71,Fiber optic,No,No,No,Credit card (auto),No,0,No,No,Yes,No,5,19.84,2,0,1
CUST50067,14,Month-to-month,79.56,959.59,No,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,Yes,0,0.0,0,1,1
CUST50068,45,Two year,44.0,1783.45,DSL,Yes,No,No,Electronic check,No,0,Yes,Yes,Yes,No,7,33.52,0,1,0
CUST50069,1,Two year,97.1,86.6,DSL,No,No,No,Bank transfer (auto),Yes,0,No,No,No,No phone service,2,12.72,0,0,0
CUST50070,41,Month-to-month,26.31,952.28,DSL,No,Yes,No,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,1,49.82,0,1,1
CUST50071,4,Month-to-month,49.45,201.96,Fiber optic,No,Yes,Yes,Electronic check,Yes,1,No,No,Yes,Yes,10,8.0,0,0,0
CUST50072,4,Month-to-month,58.95,212.01,Fiber optic,Yes,No,No,Electronic check,Yes,0,No,No,Yes,Yes,1,43.45,0,0,1
CUST50073,2,Month-to-month,77.13,155.33,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,No,Yes,Yes,9,0.0,0,0,1
CUST50074,12,Month-to-month,21.14,221.76,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,Yes,Yes,No,1,33.39,1,0,0
CUST50075,9,Two year,75.61,636.02,DSL,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,1,28.76,0,0,0
CUST50076,27,One year,54.03,1409.67,Fiber optic,Yes,Yes,No,Mailed check,No,0,No,No,Yes,No,1,35.74,1,0,0
CUST50077,6,Month-to-month,111.73,673.44,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,Yes,No,0,37.76,0,0,0
CUST50078,47,One year,48.77,2040.05,DSL,No,Yes,No,Credit card (auto),No,1,Yes,Yes,Yes,Yes,1,22.13,1,1,0
CUST50079,38,Month-to-month,56.85,1972.56,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,No,No,Yes,No,0,26.19,1,1,1
CUST50080,1,Month-to-month,72.34,74.84,DSL,Yes,No,No,Bank transfer (auto),No,1,No,Yes,Yes,No,1,101.77,1,0,0
CUST50081,18,Month-to-month,95.03,1472.75,DSL,Yes,Yes,Yes,Bank transfer (auto),No,1,Yes,Yes,No,No phone service,0,30.43,1,0,0
CUST50082,20,Month-to-month,79.65,1589.74,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,Yes,Yes,No,5,0.0,0,0,1
CUST50083,5,Two year,112.89,564.51,DSL,Yes,Yes,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,2,24.79,0,2,1
CUST50084,39,One year,24.35,954.11,No,No internet service,No internet service,No internet service,Electronic check,No,0,No,No,Yes,No,2,0.0,0,0,0
CUST50085,19,Two year,79.24,1323.68,Fiber optic,No,Yes,Yes,Bank transfer (auto),Yes,0,Yes,Yes,Yes,Yes,1,9.18,1,0,0
CUST50086,36,Two year,51.73,1615.34,DSL,No,Yes,Yes,Mailed check,No,0,Yes,No,Yes,Yes,10,38.91,0,0,0
CUST50087,28,Two year,72.28,1763.59,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,No,1,12.72,1,1,0
CUST50088,4,Month-to-month,77.04,271.77,Fiber optic,No,No,Yes,Bank transfer (auto),No,1,Yes,Yes,Yes,Yes,2,7.06,0,0,1
CUST50089,10,Month-to-month,69.21,642.05,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,Yes,Yes,No,0,0.0,0,2,0
CUST50090,33,Two year,96.41,2742.75,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,Yes,No,2,3.32,1,0,0
CUST50091,72,Month-to-month,76.56,5776.43,No,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,Yes,No,No phone service,1,0.0,1,1,0
CUST50092,37,One year,47.84,1519.49,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,Yes,No,Yes,Yes,2,0.0,0,0,0
CUST50093,3,Two year,52.0,161.28,DSL,No,No,Yes,Electronic check,No,0,Yes,Yes,Yes,Yes,0,16.88,1,1,0
CUST50094,11,One year,58.19,649.06,Fiber optic,Yes,No,Yes,Mailed check,No,0,No,No,Yes,No,2,5.8,0,0,0
CUST50095,19,Two year,26.04,482.73,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,4,43.08,2,0,1
CUST50096,55,Month-to-month,41.58,2141.91,Fiber optic,No,No,No,Electronic check,No,0,Yes,No,Yes,No,0,60.92,0,0,1
CUST50097,1,Two year,115.88,106.62,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,No,Yes,Yes,Yes,4,96.13,0,0,0
CUST50098,6,Two year,109.55,653.13,DSL,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,Yes,0,56.2,0,0,1
CUST50099,58,One year,73.77,3823.59,DSL,No,Yes,Yes,Mailed check,No,0,Yes,Yes,Yes,No,0,22.89,0,0,0
CUST50100,12,Month-to-month,32.17,373.57,DSL,Yes,Yes,Yes,Credit card (auto),No,1,No,No,Yes,No,2,13.79,0,1,0
CUST50101,12,Two year,59.49,661.99,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,Yes,2,40.24,0,0,0
CUST50102,14,One year,97.88,1333.99,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,1,No,No,Yes,No,1,49.75,0,0,0
CUST50103,10,Two year,100.06,1026.59,DSL,No,No,Yes,Mailed check,Yes,1,No,Yes,Yes,Yes,3,29.01,0,1,1
CUST50104,23,Month-to-month,118.72,2429.55,DSL,No,Yes,No,Mailed check,No,0,Yes,Yes,Yes,Yes,2,12.08,0,0,0
CUST50105,72,Month-to-month,37.7,2442.21,Fiber optic,No,No,No,Electronic check,No,0,No,Yes,Yes,No,3,24.81,0,1,0
CUST50106,26,Month-to-month,105.05,2759.59,DSL,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,Yes,4,15.08,0,1,1
CUST50107,44,One year,39.11,1777.98,Fiber optic,No,Yes,No,Electronic check,No,1,No,Yes,Yes,No,8,24.63,0,0,0
CUST50108,6,Two year,102.91,639.79,Fiber optic,Yes,Yes,No,Mailed check,Yes,0,Yes,Yes,Yes,No,3,14.46,1,0,0
CUST50109,29,Two year,41.99,1255.08,DSL,No,No,Yes,Credit card (auto),Yes,0,Yes,No,Yes,Yes,2,25.96,1,0,0
CUST50110,15,One year,35.35,541.18,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,Yes,No,No phone service,0,68.43,2,0,1
CUST50111,22,Month-to-month,28.5,578.34,Fiber optic,No,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,Yes,1,19.31,0,0,0
CUST50112,72,Month-to-month,51.78,3312.91,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,No,No phone service,5,0.0,0,1,1
CUST50113,50,One year,53.93,2715.25,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,No,No phone service,1,0.0,0,0,0
CUST50114,59,Month-to-month,107.24,6440.13,DSL,No,No,No,Mailed check,No,1,Yes,Yes,Yes,Yes,3,24.84,1,0,0
CUST50115,15,Month-to-month,106.6,1524.16,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,No,4,42.29,0,0,0
CUST50116,20,Two year,108.77,1959.14,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,Yes,Yes,No,2,0.0,0,1,0
CUST50117,50,Month-to-month,69.12,3382.32,Fiber optic,Yes,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,3,9.48,0,0,1
CUST50118,5,Month-to-month,93.54,461.07,No,No internet service,No internet service,No internet service,Electronic check,Yes,1,Yes,No,Yes,No,1,0.0,0,0,1
CUST50119,57,Month-to-month,37.04,2047.49,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,Yes,Yes,Yes,No,1,19.99,0,0,1
CUST50120,3,One year,119.74,352.13,Fiber optic,No,Yes,No,Bank transfer (auto),Yes,0,No,Yes,No,No phone service,2,22.39,0,0,1
CUST50121,1,Two year,38.04,39.34,DSL,No,No,Yes,Mailed check,Yes,0,Yes,No,Yes,No,5,15.28,0,0,0
CUST50122,8,One year,79.92,630.84,DSL,No,No,No,Mailed check,Yes,0,Yes,Yes,Yes,Yes,1,20.8,0,0,1
CUST50123,28,One year,50.09,1437.65,Fiber optic,No,No,No,Mailed check,No,0,No,Yes,Yes,Yes,4,31.38,0,0,0
CUST50124,4,Month-to-month,50.09,183.96,Fiber optic,No,Yes,No,Bank transfer (auto),No,0,No,No,Yes,No,2,16.55,1,0,0
CUST50125,9,One year,35.82,303.61,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,No,No,Yes,No,2,0.0,0,1,0
CUST50126,11,Two year,79.87,825.69,DSL,No,No,No,Credit card (auto),Yes,0,Yes,No,Yes,No,3,17.34,1,1,0
CUST50127,9,One year,81.58,658.84,Fiber optic,No,No,No,Bank transfer (auto),No,0,No,Yes,Yes,Yes,5,60.13,2,1,0
CUST50128,23,Month-to-month,23.26,485.95,Fiber optic,No,No,Yes,Electronic check,No,0,Yes,No,Yes,Yes,2,14.96,0,1,1
CUST50129,44,Month-to-month,31.43,1397.41,DSL,No,Yes,Yes,Electronic check,Yes,0,Yes,No,Yes,Yes,0,43.77,1,2,0
CUST50130,1,Month-to-month,97.54,98.24,DSL,No,No,No,Bank transfer (auto),No,1,No,No,Yes,No,2,11.29,0,0,1
CUST50131,11,Two year,61.16,677.03,DSL,Yes,No,Yes,Credit card (auto),No,0,No,No,Yes,Yes,1,29.05,0,0,0
CUST50132,14,Month-to-month,64.82,905.68,Fiber optic,No,No,No,Electronic check,Yes,1,Yes,No,No,No phone service,1,18.76,0,1,0
CUST50133,15,Two year,24.33,339.98,DSL,Yes,No,No,Credit card (auto),No,0,No,No,Yes,Yes,2,60.05,0,0,1
CUST50134,27,Month-to-month,46.49,1218.71,DSL,No,No,No,Bank transfer (auto),No,0,Yes,No,No,No phone service,4,25.72,0,0,1
CUST50135,41,Two year,60.88,2581.37,DSL,No,No,No,Mailed check,Yes,0,No,Yes,No,No phone service,3,17.08,0,2,0
CUST50136,72,One year,23.73,1641.66,DSL,Yes,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,0,8.54,1,0,0
CUST50137,25,One year,21.27,556.73,No,No internet service,No internet service,No internet service,Electronic check,Yes,0,No,No,Yes,Yes,0,0.0,0,0,1
CUST50138,31,One year,33.2,968.87,DSL,No,No,Yes,Credit card (auto),No,0,Yes,No,Yes,No,5,67.71,0,0,1
CUST50139,47,Month-to-month,117.9,5427.36,DSL,Yes,No,No,Bank transfer (auto),No,0,Yes,Yes,Yes,Yes,1,15.91,1,1,1
CUST50140,3,Month-to-month,30.52,95.24,No,No internet service,No internet service,No internet service,Mailed check,No,0,Yes,Yes,Yes,Yes,0,0.0,0,0,1
CUST50141,1,Two year,21.39,18.54,DSL,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,1,27.64,2,1,0
CUST50142,13,Two year,70.16,911.65,DSL,No,No,No,Bank transfer (auto),Yes,0,No,No,Yes,No,1,57.37,0,1,0
CUST50143,21,Month-to-month,74.79,1355.59,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,1,Yes,No,Yes,Yes,2,16.55,3,1,1
CUST50144,4,Month-to-month,102.38,396.35,Fiber optic,Yes,No,Yes,Electronic check,No,0,No,Yes,No,No phone service,0,21.52,1,0,1
CUST50145,11,One year,75.54,776.83,DSL,Yes,No,Yes,Credit card (auto),No,0,Yes,No,Yes,No,0,59.2,0,0,0
CUST50146,16,Month-to-month,29.03,486.67,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,Yes,No,Yes,Yes,0,0.0,1,1,0
CUST50147,72,Month-to-month,108.14,7732.23,DSL,Yes,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,1,9.63,1,0,0
CUST50148,41,Month-to-month,79.29,3072.07,No,No internet service,No internet service,No internet service,Electronic check,No,1,No,No,No,No phone service,2,0.0,0,0,1
CUST50149,44,One year,113.42,5127.06,DSL,No,Yes,Yes,Mailed check,No,0,No,No,Yes,No,2,12.56,0,0,0
CUST50150,17,Month-to-month,50.11,819.13,DSL,No,Yes,No,Mailed check,Yes,0,No,No,No,No phone service,1,14.03,0,0,0
CUST50151,9,One year,34.02,308.28,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,Yes,No,1,47.24,0,2,0
CUST50152,28,Month-to-month,29.01,750.05,Fiber optic,No,Yes,Yes,Mailed check,No,0,No,Yes,Yes,Yes,4,5.12,0,1,1
CUST50153,13,Month-to-month,24.39,278.34,Fiber optic,No,No,Yes,Credit card (auto),No,1,No,Yes,Yes,No,3,14.84,0,0,0
CUST50154,53,Two year,36.82,1772.82,Fiber optic,No,No,No,Credit card (auto),Yes,0,No,Yes,Yes,No,0,18.88,0,0,0
CUST50155,41,Two year,29.36,1190.15,DSL,Yes,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,5,5.53,3,0,1
CUST50156,20,Month-to-month,28.68,563.99,Fiber optic,No,Yes,No,Electronic check,No,0,No,Yes,Yes,Yes,1,51.4,0,0,1
CUST50157,1,One year,106.25,95.99,DSL,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,No,7,24.73,1,0,1
CUST50158,44,Month-to-month,100.3,3798.15,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,1,No,No,No,No phone service,1,58.15,0,1,0
CUST50159,1,Month-to-month,43.74,41.82,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,0,No,No,Yes,No,1,0.0,0,2,0
CUST50160,27,One year,30.45,767.96,DSL,No,No,No,Bank transfer (auto),No,1,Yes,Yes,Yes,No,1,52.29,1,0,1
CUST50161,17,Month-to-month,119.94,1979.62,No,No internet service,No internet service,No internet service,Bank transfer (auto),Yes,0,Yes,No,Yes,No,3,0.0,0,1,0
CUST50162,43,Month-to-month,91.9,3620.31,Fiber optic,No,No,No,Electronic check,No,1,No,Yes,No,No phone service,0,50.93,1,0,1
CUST50163,27,Two year,22.66,572.33,Fiber optic,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,Yes,3,28.54,0,0,1
CUST50164,29,One year,51.06,1507.3,DSL,Yes,No,No,Electronic check,No,0,No,Yes,Yes,No,3,14.78,0,1,0
CUST50165,14,One year,34.38,487.48,DSL,No,Yes,Yes,Electronic check,Yes,0,No,No,Yes,No,2,37.33,1,1,0
CUST50166,36,Month-to-month,68.38,2143.72,DSL,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,2,31.21,0,0,0
CUST50167,25,One year,62.67,1516.11,DSL,No,No,Yes,Credit card (auto),Yes,0,No,No,No,No phone service,1,41.78,0,1,1
CUST50168,4,Month-to-month,85.04,347.74,No,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,No,2,0.0,0,0,1
CUST50169,6,Month-to-month,28.52,162.32,No,No internet service,No internet service,No internet service,Mailed check,No,0,No,Yes,Yes,Yes,1,0.0,1,1,0
CUST50170,20,Two year,41.02,860.57,Fiber optic,Yes,No,No,Credit card (auto),No,0,Yes,Yes,Yes,No,0,15.05,1,0,0
CUST50171,2,Month-to-month,36.77,65.54,No,No internet service,No internet service,No internet service,Credit card (auto),No,0,No,Yes,Yes,Yes,0,0.0,0,0,0
CUST50172,41,Two year,109.46,3993.01,Fiber optic,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,Yes,3,34.3,1,0,0
CUST50173,62,One year,79.64,4943.9,DSL,No,No,No,Bank transfer (auto),No,0,Yes,No,Yes,Yes,0,24.54,2,0,1
CUST50174,72,Month-to-month,46.02,3025.76,Fiber optic,No,No,Yes,Mailed check,Yes,0,Yes,Yes,Yes,No,2,61.08,1,0,0
CUST50175,8,One year,34.4,254.09,Fiber optic,No,No,Yes,Credit card (auto),Yes,0,No,No,Yes,No,1,47.7,1,0,0
CUST50176,21,Month-to-month,114.53,2447.27,DSL,No,No,No,Bank transfer (auto),Yes,0,Yes,Yes,Yes,Yes,1,19.04,1,1,0
CUST50177,9,Month-to-month,29.23,223.97,DSL,Yes,Yes,Yes,Electronic check,Yes,0,No,No,Yes,No,2,37.1,2,0,0
CUST50178,47,Month-to-month,59.29,2791.8,No,No internet service,No internet service,No internet service,Credit card (auto),Yes,1,Yes,Yes,Yes,No,0,0.0,0,0,1
CUST50179,7,One year,105.62,695.3,Fiber optic,No,No,No,Mailed check,Yes,0,Yes,No,Yes,Yes,2,51.06,1,0,1
CUST50180,1,One year,46.37,47.9,Fiber optic,Yes,No,Yes,Credit card (auto),Yes,0,No,Yes,Yes,No,1,31.49,1,0,1
CUST50181,71,Month-to-month,27.87,2020.81,Fiber optic,No,No,No,Mailed check,No,0,No,Yes,No,No phone service,1,22.22,0,1,0
CUST50182,54,Month-to-month,71.24,3916.82,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,Yes,No,No phone service,0,14.18,0,0,1
CUST50183,8,One year,99.98,792.76,Fiber optic,Yes,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,3,17.05,0,0,0
CUST50184,2,One year,70.4,133.41,Fiber optic,No,No,Yes,Electronic check,Yes,0,Yes,Yes,Yes,Yes,9,25.76,1,0,1
CUST50185,47,Month-to-month,114.06,5609.36,Fiber optic,No,No,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,1,48.75,1,0,0
